,Company,Year,Country,Revenue,Sector,Goals
54,Mastercard,2022,USA,439.85,Financial Service,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 4, '9': 7, '10': 1, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 7, '17': 0}"
55,Mastercard,2023,USA,439.85,Financial Service,"{'0': 4, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 4, '9': 13, '10': 1, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 22, '17': 0}"
56,Mastercard,2015,USA,439.85,Financial Service,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
57,Mastercard,2017,USA,439.85,Financial Service,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 2, '9': 6, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 4, '17': 0}"
58,Mastercard,2019,USA,439.85,Financial Service,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 2, '9': 5, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 3, '17': 0}"
59,Mastercard,2021,USA,439.85,Financial Service,"{'0': 1, '1': 0, '2': 0, '3': 1, '4': 1, '5': 0, '6': 0, '7': 0, '8': 5, '9': 7, '10': 1, '11': 0, '12': 0, '13': 1, '14': 0, '15': 0, '16': 6, '17': 0}"
60,Mastercard,2020,USA,439.85,Financial Service,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 3, '9': 6, '10': 0, '11': 0, '12': 1, '13': 0, '14': 0, '15': 0, '16': 6, '17': 0}"
61,Mastercard,2018,USA,439.85,Financial Service,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 3, '9': 4, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 4, '17': 0}"
62,Mastercard,2016,USA,439.85,Financial Service,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 2, '17': 0}"
63,Eli Lilly,2023,USA,724.33,Health Care,"{'0': 5, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
64,Oracle,2022,USA,390.8,Information Technology,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 8, '9': 11, '10': 0, '11': 0, '12': 1, '13': 0, '14': 0, '15': 0, '16': 6, '17': 0}"
65,Oracle,2023,USA,390.8,Information Technology,"{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 15, '9': 15, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 8, '17': 0}"
66,Oracle,2017,USA,390.8,Information Technology,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 2, '9': 5, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 1}"
67,Oracle,2019,USA,390.8,Information Technology,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 6, '9': 8, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 5, '17': 0}"
68,Oracle,2021,USA,390.8,Information Technology,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 9, '9': 9, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 8, '17': 0}"
69,Oracle,2020,USA,390.8,Information Technology,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 6, '9': 8, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 4, '17': 0}"
70,Oracle,2018,USA,390.8,Information Technology,"{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 2, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
71,Microsoft,2014,USA,3036.0,Information Tech,"{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 2, '9': 4, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
72,Microsoft,2022,USA,3036.0,Information Tech,"{'0': 1, '1': 0, '2': 0, '3': 4, '4': 2, '5': 0, '6': 0, '7': 0, '8': 10, '9': 22, '10': 1, '11': 2, '12': 2, '13': 3, '14': 0, '15': 1, '16': 5, '17': 3}"
73,Microsoft,2023,USA,3036.0,Information Tech,"{'0': 11, '1': 0, '2': 2, '3': 7, '4': 14, '5': 1, '6': 0, '7': 2, '8': 25, '9': 51, '10': 1, '11': 0, '12': 0, '13': 1, '14': 0, '15': 0, '16': 14, '17': 5}"
74,Microsoft,2015,USA,3036.0,Information Tech,"{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 5, '10': 0, '11': 0, '12': 1, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
75,Microsoft,2017,USA,3036.0,Information Tech,"{'0': 5, '1': 0, '2': 0, '3': 1, '4': 2, '5': 0, '6': 0, '7': 1, '8': 5, '9': 16, '10': 1, '11': 0, '12': 1, '13': 2, '14': 0, '15': 0, '16': 1, '17': 0}"
76,Microsoft,2019,USA,3036.0,Information Tech,"{'0': 5, '1': 0, '2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 9, '9': 17, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 1}"
77,Microsoft,2021,USA,3036.0,Information Tech,"{'0': 2, '1': 0, '2': 0, '3': 3, '4': 2, '5': 0, '6': 0, '7': 0, '8': 7, '9': 20, '10': 0, '11': 0, '12': 1, '13': 1, '14': 0, '15': 0, '16': 5, '17': 2}"
78,Microsoft,2020,USA,3036.0,Information Tech,"{'0': 5, '1': 0, '2': 0, '3': 2, '4': 1, '5': 0, '6': 0, '7': 1, '8': 7, '9': 18, '10': 1, '11': 1, '12': 2, '13': 1, '14': 0, '15': 0, '16': 5, '17': 1}"
79,Microsoft,2018,USA,3036.0,Information Tech,"{'0': 4, '1': 0, '2': 0, '3': 0, '4': 2, '5': 0, '6': 0, '7': 0, '8': 11, '9': 19, '10': 2, '11': 0, '12': 1, '13': 1, '14': 0, '15': 0, '16': 3, '17': 4}"
80,Microsoft,2016,USA,3036.0,Information Tech,"{'0': 2, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 2, '9': 5, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
81,Visa,2014,USA,543.62,Financial Service,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
82,Visa,2023,USA,543.62,Financial Service,"{'0': 3, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 4, '9': 4, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 4, '17': 0}"
83,Visa,2017,USA,543.62,Financial Service,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 2, '9': 6, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 5, '17': 0}"
84,Visa,2019,USA,543.62,Financial Service,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 2, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 6, '17': 0}"
85,Visa,2020,USA,543.62,Financial Service,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 3, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 4, '17': 0}"
86,Visa,2018,USA,543.62,Financial Service,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 2, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 4, '17': 0}"
87,Broadcom,2022,USA,669.46,Information Tech,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 4, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 4, '17': 0}"
88,Broadcom,2023,USA,669.46,Information Tech,"{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 4, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 4, '17': 0}"
89,Broadcom,2021,USA,669.46,Information Tech,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 3, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 4, '17': 0}"
90,Broadcom,2020,USA,669.46,Information Tech,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 3, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 2, '17': 0}"
91,Alphabet(Google),2022,USA,2062.0,Information Tech,"{'0': 10, '1': 0, '2': 1, '3': 5, '4': 9, '5': 0, '6': 0, '7': 1, '8': 11, '9': 29, '10': 3, '11': 4, '12': 3, '13': 3, '14': 0, '15': 0, '16': 4, '17': 1}"
92,Alphabet(Google),2023,USA,2062.0,Information Tech,"{'0': 28, '1': 0, '2': 0, '3': 3, '4': 9, '5': 0, '6': 0, '7': 1, '8': 12, '9': 35, '10': 0, '11': 0, '12': 2, '13': 5, '14': 0, '15': 0, '16': 11, '17': 1}"
93,Alphabet(Google),2015,USA,2062.0,Information Tech,"{'0': 2, '1': 0, '2': 0, '3': 1, '4': 1, '5': 0, '6': 0, '7': 0, '8': 2, '9': 5, '10': 0, '11': 0, '12': 0, '13': 1, '14': 0, '15': 0, '16': 0, '17': 0}"
94,Alphabet(Google),2017,USA,2062.0,Information Tech,"{'0': 1, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 1, '8': 0, '9': 2, '10': 0, '11': 1, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
95,Alphabet(Google),2019,USA,2062.0,Information Tech,"{'0': 5, '1': 0, '2': 0, '3': 2, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 5, '10': 0, '11': 0, '12': 0, '13': 1, '14': 0, '15': 0, '16': 2, '17': 0}"
96,Alphabet(Google),2021,USA,2062.0,Information Tech,"{'0': 16, '1': 0, '2': 0, '3': 2, '4': 0, '5': 0, '6': 0, '7': 1, '8': 0, '9': 1, '10': 0, '11': 1, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
97,Alphabet(Google),2020,USA,2062.0,Information Tech,"{'0': 6, '1': 0, '2': 0, '3': 2, '4': 3, '5': 0, '6': 0, '7': 0, '8': 3, '9': 6, '10': 2, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
98,Alphabet(Google),2018,USA,2062.0,Information Tech,"{'0': 3, '1': 0, '2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 1, '8': 0, '9': 4, '10': 0, '11': 1, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
99,Alphabet(Google),2016,USA,2062.0,Information Tech,"{'0': 1, '1': 0, '2': 0, '3': 1, '4': 1, '5': 0, '6': 0, '7': 1, '8': 2, '9': 7, '10': 0, '11': 2, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
