,Company,Year,Country,Revenue,Sector
262,Mercedes-Benz,2020,Germany,68.14,Consumer Discretionary
263,Mercedes-Benz,2018,Germany,68.14,Consumer Discretionary
264,Mercedes-Benz,2016,Germany,68.14,Consumer Discretionary
265,SAP,2014,Germany,240.94,Information Technology
266,SAP,2022,Germany,240.94,Information Technology
267,SAP,2023,Germany,240.94,Information Technology
268,SAP,2015,Germany,240.94,Information Technology
269,SAP,2017,Germany,240.94,Information Technology
270,SAP,2019,Germany,240.94,Information Technology
271,SAP,2021,Germany,240.94,Information Technology
272,SAP,2020,Germany,240.94,Information Technology
273,SAP,2018,Germany,240.94,Information Technology
274,SAP,2016,Germany,240.94,Information Technology
275,Hannover Rück,2014,Germany,33.67,Financials
276,Hannover Rück,2022,Germany,33.67,Financials
277,Hannover Rück,2023,Germany,33.67,Financials
278,Hannover Rück,2015,Germany,33.67,Financials
279,Hannover Rück,2017,Germany,33.67,Financials
280,Hannover Rück,2019,Germany,33.67,Financials
281,Hannover Rück,2021,Germany,33.67,Financials
282,Hannover Rück,2020,Germany,33.67,Financials
283,Hannover Rück,2018,Germany,33.67,Financials
284,Hannover Rück,2016,Germany,33.67,Financials
285,Siemens,2014,Germany,135.42,Industries
286,Siemens,2022,Germany,135.42,Industries
287,Siemens,2023,Germany,135.42,Industries
288,Siemens,2015,Germany,135.42,Industries
289,Siemens,2017,Germany,135.42,Industries
290,Siemens,2019,Germany,135.42,Industries
291,Siemens,2021,Germany,135.42,Industries
292,Siemens,2020,Germany,135.42,Industries
293,Siemens,2018,Germany,135.42,Industries
294,Siemens,2016,Germany,135.42,Industries
295,Deutsche Börse,2014,Germany,41.91,Financials
296,Deutsche Börse,2022,Germany,41.91,Financials
297,Deutsche Börse,2023,Germany,41.91,Financials
298,Deutsche Börse,2015,Germany,41.91,Financials
299,Deutsche Börse,2017,Germany,41.91,Financials
300,Deutsche Börse,2019,Germany,41.91,Financials
301,Deutsche Börse,2021,Germany,41.91,Financials
302,Deutsche Börse,2020,Germany,41.91,Financials
303,Deutsche Börse,2018,Germany,41.91,Financials
304,Deutsche Börse,2016,Germany,41.91,Financials
305,Porsche,2014,Germany,67.4,Consumer Discretionary
306,Porsche,2022,Germany,67.4,Consumer Discretionary
307,Porsche,2023,Germany,67.4,Consumer Discretionary
308,Porsche,2015,Germany,67.4,Consumer Discretionary
309,Porsche,2017,Germany,67.4,Consumer Discretionary
310,Porsche,2019,Germany,67.4,Consumer Discretionary
311,Porsche,2021,Germany,67.4,Consumer Discretionary
312,Porsche,2020,Germany,67.4,Consumer Discretionary
313,Porsche,2018,Germany,67.4,Consumer Discretionary
314,Porsche,2016,Germany,67.4,Consumer Discretionary
315,Merck,2014,Germany,78.9,Health Care
316,Merck,2022,Germany,78.9,Health Care
317,Merck,2023,Germany,78.9,Health Care
318,Merck,2015,Germany,78.9,Health Care
319,Merck,2017,Germany,78.9,Health Care
320,Merck,2019,Germany,78.9,Health Care
321,Merck,2021,Germany,78.9,Health Care
322,Merck,2020,Germany,78.9,Health Care
323,Merck,2018,Germany,78.9,Health Care
324,Merck,2016,Germany,78.9,Health Care
325,Munich RE,2014,Germany,63.39,Financials
326,Munich RE,2022,Germany,63.39,Financials
327,Munich RE,2023,Germany,63.39,Financials
328,Munich RE,2015,Germany,63.39,Financials
329,Munich RE,2017,Germany,63.39,Financials
330,Munich RE,2019,Germany,63.39,Financials
331,Munich RE,2021,Germany,63.39,Financials
332,Munich RE,2020,Germany,63.39,Financials
333,Munich RE,2018,Germany,63.39,Financials
334,Munich RE,2016,Germany,63.39,Financials
335,Beiersdorf,2014,Germany,32.13,Consumer Staples
336,Beiersdorf,2022,Germany,32.13,Consumer Staples
337,Beiersdorf,2023,Germany,32.13,Consumer Staples
338,Beiersdorf,2015,Germany,32.13,Consumer Staples
339,Beiersdorf,2017,Germany,32.13,Consumer Staples
340,Beiersdorf,2019,Germany,32.13,Consumer Staples
341,Beiersdorf,2021,Germany,32.13,Consumer Staples
342,Beiersdorf,2020,Germany,32.13,Consumer Staples
343,Beiersdorf,2018,Germany,32.13,Consumer Staples
344,Beiersdorf,2016,Germany,32.13,Consumer Staples
345,Allianz,2014,Germany,106.68,Financials
346,Allianz,2022,Germany,106.68,Financials
347,Allianz,2023,Germany,106.68,Financials
348,Allianz,2015,Germany,106.68,Financials
349,Allianz,2017,Germany,106.68,Financials
350,Allianz,2019,Germany,106.68,Financials
351,Allianz,2021,Germany,106.68,Financials
352,Allianz,2020,Germany,106.68,Financials
353,Allianz,2018,Germany,106.68,Financials
354,Allianz,2016,Germany,106.68,Financials
355,Deutsche Telekom,2014,Germany,130.56,Communication Services
356,Deutsche Telekom,2022,Germany,130.56,Communication Services
357,Deutsche Telekom,2023,Germany,130.56,Communication Services
358,Deutsche Telekom,2015,Germany,130.56,Communication Services
359,Deutsche Telekom,2017,Germany,130.56,Communication Services
360,Deutsche Telekom,2019,Germany,130.56,Communication Services
361,Deutsche Telekom,2021,Germany,130.56,Communication Services
362,Deutsche Telekom,2020,Germany,130.56,Communication Services
363,Deutsche Telekom,2016,Germany,130.56,Communication Services
364,Henkel,2014,Germany,35.64,Consumer Staples
365,Henkel,2022,Germany,35.64,Consumer Staples
366,Henkel,2023,Germany,35.64,Consumer Staples
367,Henkel,2015,Germany,35.64,Consumer Staples
368,Henkel,2017,Germany,35.64,Consumer Staples
369,Henkel,2019,Germany,35.64,Consumer Staples
370,Henkel,2021,Germany,35.64,Consumer Staples
371,Henkel,2020,Germany,35.64,Consumer Staples
372,Henkel,2018,Germany,35.64,Consumer Staples
373,Henkel,2016,Germany,35.64,Consumer Staples
374,EON,2014,Germany,38.46,Energy
375,EON,2022,Germany,38.46,Energy
376,EON,2023,Germany,38.46,Energy
377,EON,2015,Germany,38.46,Energy
378,EON,2017,Germany,38.46,Energy
379,EON,2019,Germany,38.46,Energy
380,EON,2021,Germany,38.46,Energy
381,EON,2020,Germany,38.46,Energy
382,EON,2018,Germany,38.46,Energy
383,EON,2016,Germany,38.46,Energy
384,Volkswagen,2014,Germany,52.66,Consumer Discretionary
385,Volkswagen,2022,Germany,52.66,Consumer Discretionary
386,Volkswagen,2023,Germany,52.66,Consumer Discretionary
387,Volkswagen,2015,Germany,52.66,Consumer Discretionary
388,Volkswagen,2017,Germany,52.66,Consumer Discretionary
389,Volkswagen,2019,Germany,52.66,Consumer Discretionary
390,Volkswagen,2021,Germany,52.66,Consumer Discretionary
391,Volkswagen,2020,Germany,52.66,Consumer Discretionary
392,Volkswagen,2018,Germany,52.66,Consumer Discretionary
393,Volkswagen,2016,Germany,52.66,Consumer Discretionary
394,China Iife Insurance,2014,China,111.24,Financials
395,China Iife Insurance,2022,China,111.24,Financials
396,China Iife Insurance,2023,China,111.24,Financials
397,China Iife Insurance,2015,China,111.24,Financials
398,China Iife Insurance,2017,China,111.24,Financials
399,China Iife Insurance,2019,China,111.24,Financials
400,China Iife Insurance,2021,China,111.24,Financials
401,China Iife Insurance,2020,China,111.24,Financials
402,China Iife Insurance,2018,China,111.24,Financials
