,Firm,Year,Country,Sector,Revenue,Total Passages,Passages after Filter 1,Passages after Filter 2,Passages after Classification into SDGs,Result
74,Exxon Mobil,2019,USA,Energy,500.44,296,2,2,2,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 2, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
75,Alphabet(Google),2022,USA,Information Technology,2062.0,892,47,41,35,"{'0': 2, '1': 0, '2': 1, '3': 3, '4': 8, '5': 0, '6': 0, '7': 1, '8': 11, '9': 26, '10': 1, '11': 3, '12': 1, '13': 3, '14': 0, '15': 0, '16': 3, '17': 1}"
76,Alphabet(Google),2023,USA,Information Technology,2062.0,855,75,63,40,"{'0': 2, '1': 0, '2': 0, '3': 2, '4': 6, '5': 0, '6': 0, '7': 1, '8': 12, '9': 30, '10': 0, '11': 0, '12': 2, '13': 4, '14': 0, '15': 0, '16': 7, '17': 1}"
77,Alphabet(Google),2015,USA,Information Technology,2062.0,1043,8,8,6,"{'0': 1, '1': 0, '2': 0, '3': 1, '4': 1, '5': 0, '6': 0, '7': 0, '8': 2, '9': 5, '10': 0, '11': 0, '12': 0, '13': 1, '14': 0, '15': 0, '16': 0, '17': 0}"
78,Alphabet(Google),2017,USA,Information Technology,2062.0,776,4,4,3,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 1, '8': 0, '9': 2, '10': 0, '11': 1, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
79,Alphabet(Google),2019,USA,Information Technology,2062.0,809,11,8,4,"{'0': 3, '1': 0, '2': 0, '3': 2, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 3, '10': 0, '11': 0, '12': 0, '13': 1, '14': 0, '15': 0, '16': 1, '17': 0}"
80,Alphabet(Google),2021,USA,Information Technology,2062.0,7233,21,6,4,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 1, '8': 0, '9': 1, '10': 0, '11': 1, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
81,Alphabet(Google),2020,USA,Information Technology,2062.0,930,16,13,8,"{'0': 3, '1': 0, '2': 0, '3': 2, '4': 3, '5': 0, '6': 0, '7': 0, '8': 3, '9': 4, '10': 2, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
82,Alphabet(Google),2018,USA,Information Technology,2062.0,827,7,7,4,"{'0': 2, '1': 0, '2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 1, '8': 0, '9': 4, '10': 0, '11': 1, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
83,Alphabet(Google),2016,USA,Information Technology,2062.0,851,9,9,8,"{'0': 1, '1': 0, '2': 0, '3': 1, '4': 1, '5': 0, '6': 0, '7': 1, '8': 2, '9': 7, '10': 0, '11': 2, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
84,Johnson&Johnson,2022,USA,Health Care,395.7,1228,1,1,1,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
85,Johnson&Johnson,2023,USA,Health Care,395.7,2355,4,2,1,"{'0': 1, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
86,Johnson&Johnson,2021,USA,Health Care,395.7,1242,1,1,1,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
87,Morgan&Chase,2022,USA,Financials,604.48,2982,15,10,9,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 1, '8': 8, '9': 6, '10': 0, '11': 0, '12': 0, '13': 1, '14': 0, '15': 0, '16': 1, '17': 0}"
88,Morgan&Chase,2023,USA,Financials,604.48,3383,26,20,17,"{'0': 0, '1': 1, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 13, '9': 10, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 5, '17': 0}"
89,Morgan&Chase,2015,USA,Financials,604.48,3246,2,1,1,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
90,Morgan&Chase,2017,USA,Financials,604.48,3041,4,3,2,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 2, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
91,Morgan&Chase,2019,USA,Financials,604.48,2541,2,2,1,"{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
92,Morgan&Chase,2021,USA,Financials,604.48,2889,17,6,6,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 3, '9': 3, '10': 0, '11': 0, '12': 0, '13': 1, '14': 0, '15': 0, '16': 2, '17': 0}"
93,Morgan&Chase,2020,USA,Financials,604.48,3164,12,8,8,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 6, '9': 8, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 1}"
